127.0.0.1 - - [27/Jun/2017:10:14:37 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:14:37 -0400] "GET /AngularDemo/HelloWorld.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:17:54 -0400] "GET /AngularDemo/HelloWorld.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:18:10 -0400] "GET /AngularDemo/HelloWorld.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:20:45 -0400] "GET /AngularDemo/HelloWorld.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:22:07 -0400] "GET /AngularDemo/HelloWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:22:19 -0400] "GET /AngularDemo/HelloWorld.html HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:22:34 -0400] "GET /AngularDemo/HelloWorld.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:33:38 -0400] "GET /AngularDemo/HelloWorld.html HTTP/1.1" 200 1445
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:34:32 -0400] "GET /AngularDemo/HelloWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:54:14 -0400] "GET /AngularDemo/IntroToControllerLogic.html HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:54:30 -0400] "GET /AngularDemo/IntroToControllerLogic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:56:05 -0400] "GET /AngularDemo/IntroToControllerLogic.html HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [27/Jun/2017:10:56:58 -0400] "GET /AngularDemo/IntroToControllerLogic.html HTTP/1.1" 200 740
