127.0.0.1 - - [28/Jun/2017:00:18:28 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Jun/2017:00:18:29 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [28/Jun/2017:00:20:23 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [28/Jun/2017:00:50:41 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [28/Jun/2017:00:51:39 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [28/Jun/2017:00:53:08 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [28/Jun/2017:00:54:13 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [28/Jun/2017:00:55:03 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [28/Jun/2017:00:57:11 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [28/Jun/2017:00:58:02 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:02:01 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:09:30 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:10:53 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:13:09 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:13:49 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:14:07 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2322
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:14:13 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:14:21 -0400] "GET /AngularDemo/ToDo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:17:08 -0400] "GET /AngularDemo/Calculator.html HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:19:37 -0400] "GET /AngularDemo/NewFile.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [28/Jun/2017:01:20:06 -0400] "GET /AngularDemo/NewFile.html HTTP/1.1" 200 3253
